Part Number	Library Ref	Footprint Ref	Value	Manufacturer	ManufacturerAlt	MPN	MPNAlt	Height	MntType	MSL	Notes	Package	Power	RoHS	TempCoeff	Tolerance	Weight	Voltage	PartType	Pins	BOMDescription	BOMDescriptionRUS	CFootprint	Comment	Rule	ClassName	Library Path	Footprint Path	System	ComponentLink1Description	ComponentLink1URL
R0402-0 ќм ±1%	RES	RESC0402(1005)_M	0	Yageo		R0402-0 ќм ±1%	R0402 Ч 0 Ohm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-1 кќм ±1%	RES	RESC0402(1005)_M	1к	Yageo		R0402-1 кќм ±1%	R0402 Ч 1 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-1 ќм ±1%	RES	RESC0402(1005)_M	1	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+Value+'Ohm'+' '+Tolerance		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-1,8 кќм ±1%	RES	RESC0402(1005)_M	1,8к	Yageo		R0402-1,8 кќм ±1%	R0402 Ч 1.8 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-10 кќм ±1%	RES	RESC0402(1005)_M	10к	Yageo		R0402-10 кќм ±1%	R0402 - 10 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-100 кќм ±1%	RES	RESC0402(1005)_M	100к	Yageo		R0402-100 кќм ±1%	R0402 Ч 100 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-100 ќм ±1%	RES	RESC0402(1005)_M	100	Yageo		R0402-100 ќм ±1%	R0402 - 100 Ohm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-12 кќм ±1%	RES	RESC0402(1005)_M	12к	Yageo		R0402-12 кќм ±1%	R0402 Ч 12 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-13 кќм ±1%	RES	RESC0402(1005)_M	13к	Yageo		R0402-13 кќм ±1%	R0402 Ч 13 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-2,2 кќм ±1%	RES	RESC0402(1005)_M	2,2к	Yageo		R0402-2,2 кќм ±1%	R0402 Ч 2.2 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-200 кќм ±1%	RES	RESC0402(1005)_M	200к	Yageo		=Package+'-'+Value+'кќм'+' '+Tolerance	=Package+'-'+Value+'kOhm'+' '+Tolerance		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-200 ќм ±1%	RES	RESC0402(1005)_M	200	Yageo		R0402-200 ќм ±1%	R0402 Ч 200 Ohm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-22 ќм ±1%	RES	RESC0402(1005)_M	22	Yageo		R0402-22 ќм ±1%	R0402 - 22 Ohm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-3 кќм ±1%	RES	RESC0402(1005)_M	3к	Yageo		R0402-3 кќм ±1%	R0402 Ч 3 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-3,3 кќм ±1%	RES	RESC0402(1005)_M	3,3к	Yageo		R0402-3,3 кќм ±1%	R0402 Ч 3.3 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-390 кќм ±1%	RES	RESC0402(1005)_M	390к	Yageo		R0402-390 кќм ±1%	R0402 Ч 390 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-4,7 кќм ±1%	RES	RESC0402(1005)_M	4,7к	Yageo		R0402-4,7 кќм ±1%	R0402 - 4.7 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-470 ќм ±1%	RES	RESC0402(1005)_M	470	Yageo		R0402-470 ќм ±1%	R0402 Ч 470 Ohm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-5,1 кќм ±1%	RES	RESC0402(1005)_M	5,1к	Yageo		R0402-5,1 кќм ±1%	R0402 Ч 5.1 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-5,1 ќм ±1%	RES	RESC0402(1005)_M	5,1к	Yageo		R0402-5,1 ќм ±1%	R0402 Ч 5.1 Ohm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-DNM ќм ±1%	RES	RESC0402(1005)_M	DNM	Yageo		DNM	DNM		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-51 ќм ±1%	RES	RESC0402(1005)_M	51	Yageo		R0402-51 ќм ±1%	R0402 Ч 51 Ohm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
																															
R0603-0 ќм ±1%	RES	RESC0603N	0	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+Value+'Ohm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-10 кќм ±1%	RES	RESC0603N	10к	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+10+'kOhm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-620 ќм ±1%	RES	RESC0603N	620	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+Value+'Ohm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-12 ќм ±1%	RES	RESC0603N	12	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+Value+'Ohm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-2 кќм ±1%	RES	RESC0603N	2к	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+2+'kOhm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-3,3 кќм ±1%	RES	RESC0603N	3,3к	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+3.3+'kOhm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-1 кќм ±1%	RES	RESC0603N	1к	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+1+'kOhm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-6,2 кќм ±1%	RES	RESC0603N	6,2к	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+6.2+'kOhm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-1,6 кќм ±1%	RES	RESC0603N	1,6к	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+1.6+'kOhm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-160 ќм ±1%	RES	RESC0603N	160	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+Value+'Ohm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-100 ќм ±1%	RES	RESC0603N	100	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+Value+'Ohm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-120 ќм ±1%	RES	RESC0603N	120	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+Value+'Ohm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-560 ќм ±1%	RES	RESC0603N	560	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+Value+'Ohm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-150 ќм ±1%	RES	RESC0603N	150	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+Value+'Ohm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-15 кќм ±1%	RES	RESC0603N	15к	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+15+'kOhm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-51 ќм ±1%	RES	RESC0603N	51	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+Value+'Ohm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-20 кќм ±1%	RES	RESC0603N	20к	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+20+'kOhm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-1,8 кќм ±1%	RES	RESC0603N	1,8к	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+1.8+'kOhm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-3,9 кќм ±1%	RES	RESC0603N	3,9к	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+3.9+'kOhm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-110 кќм ±1%	RES	RESC0603N	110к	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+110+'kOhm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-33 кќм ±1%	RES	RESC0603N	33к	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+33+'kOhm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0603-510 ќм ±1%	RES	RESC0603N	510	Yageo		=Package+'-'+Value+'ќм'+' '+Tolerance	=Package+'-'+Value+'Ohm'+' '+Tolerance		SMD	MSL 1		R0603	0,1	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
																															
R0805-1 ћќм ±1%	RES	RESC0805L	1ћ	Yageo		R0805-1 ћќм ±1%	R0805 Ч 1 MOhm ±1%		SMD	MSL 1		R0805	0,125	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
																															
R1206-0,01 ќм ±1%	RES	RES1206	0,01	Yageo		R1206-0,01 ќм ±1%	R1206 Ч 0.01 Ohm ±1%		SMD	MSL 1		R1206	0,25	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R1206-8,2 ќм ±1%	RES	RES1206	8,2	Yageo		R1206-8,2 ќм ±1%	R1206 Ч 8,2 Ohm ±1%		SMD	MSL 1		R1206	0,25	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
